fromPos,toPos,AggregateDist,03-2454_S25_L001,03-2525_S26_L001,03-2592_S27_L001,06-283016_S28_L001,06-284001_S29_L001,06-286011_S30_L001,06-2909_S23_L001,06-2950_S32_L001,06-299002_S31_L001,06-310013_S24_L001,31315_S10_L001,31316_S11_L001,31642_S12_L001,A_S9_L001,B_S10_L001,C_S11_L001,D_S12_L001,E_S13_L001,F_S14_L001,G_S15_L001,H_S16_L001,I_S17_L001,J_S18_L001,K_S19_L001,L_S20_L001,M_S21_L001,N_S22_L001,TG77198_S1_L001,TG77202_S2_L001,TG77206_S3_L001,TG77210_S16_L001,TG77214_S5_L001,TG77218_S6_L001,TG77222_S7_L001,TG77226_S8_L001,
1,1001,11,5,5,2,4,6,6,5,2,5,7,5,5,5,0,0,0,0,2,2,0,5,5,0,0,1,0,1,3,0,0,0,0,0,0,5
1001,2001,8,4,2,3,2,2,2,5,3,4,2,2,2,2,0,0,0,0,3,3,0,4,2,0,0,6,0,6,3,0,0,0,0,0,0,4
2001,3001,9,1,3,4,2,2,2,2,4,1,2,3,3,3,0,0,0,0,1,1,0,1,3,0,0,2,0,2,4,0,0,0,0,0,0,1
3001,4001,14,5,5,6,5,3,3,7,6,5,7,4,4,4,0,0,0,0,7,7,0,5,4,0,0,4,0,4,7,0,0,0,0,0,0,5
4001,5001,14,0,1,5,3,0,0,2,5,0,0,1,1,1,0,0,0,0,4,4,0,0,1,0,0,5,0,5,3,0,0,0,0,0,0,0
5001,6001,17,10,3,10,4,9,9,10,10,10,10,3,3,3,0,0,0,0,11,11,0,11,3,0,0,6,0,6,9,0,0,0,0,0,0,10
6001,7001,24,5,8,6,7,7,7,6,6,5,12,8,8,8,0,0,0,0,7,7,0,5,8,0,0,11,0,11,6,0,0,0,0,0,0,5
7001,8001,13,2,0,5,2,3,3,0,5,2,4,0,0,0,0,0,0,0,7,7,0,2,0,0,0,3,0,3,5,0,0,0,0,0,0,2
8001,9001,23,8,9,12,11,11,11,0,12,8,1,9,9,9,0,0,0,0,8,8,0,8,9,0,0,14,0,14,11,0,0,0,0,0,0,8
9001,10001,15,3,5,8,5,6,6,2,8,4,6,5,5,5,0,0,0,0,6,6,0,3,5,0,0,2,0,2,8,0,0,0,0,0,0,3
10001,11001,10,4,4,4,3,3,3,2,4,4,3,4,4,4,0,0,0,0,5,5,0,4,4,0,0,1,0,1,3,0,0,0,0,0,0,4
11001,12001,12,2,5,4,5,4,4,1,4,2,2,5,5,5,0,0,0,0,3,3,0,2,5,0,0,5,0,5,3,0,0,0,0,0,0,2
12001,13001,6,0,2,3,2,1,1,1,3,0,1,2,2,2,0,0,0,0,1,1,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0
13001,14001,11,2,3,0,1,3,3,0,0,2,2,2,2,2,0,0,0,0,3,3,0,2,2,0,0,2,0,2,1,0,0,0,0,0,0,2
14001,15001,10,2,4,3,5,3,3,2,3,1,5,4,4,4,0,0,0,0,2,2,0,1,4,0,0,5,0,5,3,0,0,0,0,0,0,1
15001,16001,11,3,5,7,2,1,1,3,7,3,3,5,5,5,0,0,0,0,4,4,0,3,5,0,0,5,0,5,7,0,0,0,0,0,0,3
16001,17001,15,6,5,8,5,5,5,8,8,6,7,5,5,5,0,0,0,0,3,3,0,6,5,0,0,6,0,6,7,0,0,0,0,0,0,6
17001,18001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18001,19001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19001,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,21001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001,22001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,23001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23001,24001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24001,25001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25001,26001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26001,27001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
